species_id,Domain,Phylum,Class,Order,Family,Genus,Species
OTU-03941,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Streptomyces,s__Streptomyces xanthophaeus
OTU-22882,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Pseudoxanthomonas_A,s__
OTU-16089,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,,,,
OTU-11106,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Paenibacillales,f__Paenibacillaceae,g__Gorillibacterium,s__Gorillibacterium massiliense
OTU-19506,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Sutterella,
OTU-03126,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Micromonosporaceae,g__Longispora,s__Longispora albida
OTU-01071,d__Archaea,p__Thermoplasmataeota,c__Epipelagoarchaeia,o__MGII,f__MGIIA,g__REDSEA-S41-B6,
OTU-18816,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Acidovorax,s__
OTU-21300,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Nevskiales,f__Nevskiaceae,g__Hydrocarboniphaga,s__Hydrocarboniphaga effusa
OTU-12762,d__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__DTU089,,
OTU-23567,d__Bacteria,p__Verrucomicrobia,c__Verrucomicrobiae,o__Opitutales,f__Opitutaceae,g__DG1235,
OTU-04134,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Coriobacteriaceae,g__Collinsella,
OTU-03469,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Propionicicella_A,
OTU-21696,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Marinomonadaceae,g__Marinomonas,
OTU-04359,d__Bacteria,p__Actinobacteria,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Cryptobacterium,s__Cryptobacterium curtum
OTU-22113,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,
OTU-00641,d__Archaea,p__Halobacteraeota,c__Methanomicrobia,o__Methanomicrobiales,f__Methanocullaceae,g__Methanoculleus,
OTU-02208,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__
OTU-01249,d__Bacteria,,,,,,
OTU-22332,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E fluorescens_N
OTU-22511,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__SAR86,,,
OTU-08272,d__Bacteria,p__Cyanobacteria,c__Oxyphotobacteria,o__Synechococcales_A,f__Cyanobiaceae,g__Synechococcus_C,s__
OTU-00983,d__Archaea,p__Thermoplasmataeota,c__Epipelagoarchaeia,o__MGII,,,
OTU-02899,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Nocardia,s__Nocardia asteroides
OTU-00495,d__Archaea,p__Halobacteraeota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,,
OTU-02151,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Leucobacter,s__Leucobacter salsicius
OTU-08776,d__Bacteria,p__Desulfuromonadaeota,c__Desulfuromonadia,o__Geobacterales,f__Geobacteraceae,g__Geobacter,s__Geobacter soli
OTU-03506,d__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Streptomycetales,f__Streptomycetaceae,g__Kitasatospora,s__
OTU-15235,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Shapirobacterales,f__UBA12405,g__UBA12158,
OTU-19107,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__Burkholderiaceae,g__Hydrogenophaga,s__
OTU-07170,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Weeksellaceae,g__Weeksella,s__Weeksella virosa
OTU-22354,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E guguanensis
OTU-18469,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingobium,s__Sphingobium faniae
OTU-11066,d__Bacteria,p__Firmicutes,c__Bacilli_A,o__Brevibacillales,f__Brevibacillaceae,g__Brevibacillus,
OTU-22983,d__Bacteria,p__Proteobacteria,c__Magnetococcia,o__Magnetococcales,,,
OTU-10815,d__Bacteria,p__Firmicutes,c__Bacilli,o__RF39,f__CAG-302,g__CAG-762,s__
OTU-22012,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,,
OTU-20206,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Alteromonadaceae,g__Paraglaciecola,s__Paraglaciecola arctica
OTU-17000,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__Methyloligella,s__Methyloligella halotolerans
OTU-13700,d__Bacteria,p__Firmicutes,c__Clostridia,o__Tissierellales,,,
OTU-22893,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,
OTU-12565,d__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Tyzzerella,s__Tyzzerella nexilis
OTU-22675,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__UBA10353,f__LS-SOB,,
OTU-14483,d__Bacteria,p__Marinimicrobia,c__Marinisomatia,o__Marinisomatales,f__AAA160-C11,g__AAA160-C11,
OTU-22954,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Thermomonas,s__Thermomonas hydrothermalis
OTU-06906,d__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Flavobacteriales,f__Flavobacteriaceae,g__Salegentibacter,
