#SampleID	Exp1A1_prefix.assembled_metaphlan_bugs_list	Exp1A2_prefix.assembled_metaphlan_bugs_list	Exp1AS1_prefix.assembled_metaphlan_bugs_list	Exp1AS2_prefix.assembled_metaphlan_bugs_list	Exp1C1_prefix.assembled_metaphlan_bugs_list	Exp1C2_prefix.assembled_metaphlan_bugs_list	Exp1S1_prefix.assembled_metaphlan_bugs_list	Exp1S2_prefix.assembled_metaphlan_bugs_list	Exp2A1_prefix.assembled_metaphlan_bugs_list	Exp2A2_prefix.assembled_metaphlan_bugs_list	Exp2AS1_prefix.assembled_metaphlan_bugs_list	Exp2AS2_prefix.assembled_metaphlan_bugs_list	Exp2C1New.assembled_metaphlan_bugs_list	Exp2C2_prefix.assembled_metaphlan_bugs_list	Exp2S1_prefix.assembled_metaphlan_bugs_list	Exp2S2_prefix.assembled_metaphlan_bugs_list	Exp3A1_prefix.assembled_metaphlan_bugs_list	Exp3A2_prefix.assembled_metaphlan_bugs_list	Exp3AS1_prefix.assembled_metaphlan_bugs_list	Exp3AS2_prefix.assembled_metaphlan_bugs_list	Exp3C1_prefix.assembled_metaphlan_bugs_list	Exp3C2_prefix.assembled_metaphlan_bugs_list	Exp3S1_prefix.assembled_metaphlan_bugs_list	Exp3S2_prefix.assembled_metaphlan_bugs_list
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035	0.02795	0.02821	0.0193	0.01983	0.02655	0.02684	0.01951	0.00393	0.05534	0.10818	0.01867	0.02904	0.05343	0.06785	0.02666	0.02724	0.00394	0.0042	0	0	0.01006	0.00455	0.00296	0
k__Bacteria|p__Bacteroidetes	0.20324	0.13333	0.12576	0.11531	0.13043	0.12507	0.12497	0.11666	0.14872	0.07612	0.05406	0.05706	0.10376	0.14413	0.07383	0.07552	0.11335	0.12212	0.06625	0.09673	0.13788	0.0916	0.13298	0.09499
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	0.20324	0.13333	0.12576	0.11531	0.13043	0.12507	0.12497	0.11666	0.14872	0.07612	0.05406	0.05706	0.10376	0.14413	0.07383	0.07552	0.11335	0.12212	0.06625	0.09673	0.13788	0.0916	0.13298	0.09499
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	0.20324	0.13333	0.12576	0.11531	0.13043	0.12507	0.12497	0.11666	0.14872	0.07612	0.05406	0.05706	0.10376	0.14413	0.07383	0.07552	0.11335	0.12212	0.06625	0.09673	0.13788	0.0916	0.13298	0.09499
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	0.00797	0.00147	0.00254	0.00215	0.00429	0.00047	0	0	0	0	0	0	0	0	0	0	0.04912	0.05832	0.03132	0.03939	0.06686	0.04215	0.04995	0.04457
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	0.00797	0.00147	0.00254	0.00215	0.00429	0.00047	0	0	0	0	0	0	0	0	0	0	0.04912	0.05832	0.03132	0.03939	0.06686	0.04215	0.04995	0.04457
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04124	0.0493	0.02517	0.03026	0.05215	0.03081	0.03684	0.03183
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei|t__Bacteroides_dorei_unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04124	0.0493	0.02517	0.03026	0.05215	0.03081	0.03684	0.03183
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	0.00797	0.00147	0.00254	0.00215	0.00429	0.00047	0	0	0	0	0	0	0	0	0	0	0.00788	0.00843	0.00615	0.00913	0.01426	0.01135	0.01312	0.01274
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified	0.00797	0.00147	0.00254	0.00215	0.00429	0.00047	0	0	0	0	0	0	0	0	0	0	0.00788	0.00843	0.00615	0.00913	0.01426	0.01135	0.01312	0.01274
